"cust_id","state","zip","speeddown","speedup","last","numords","dollars","sincepurch","oldmodel","refurb","eightvalve","type","income","medhvalue","buy1","training"
28541,"California",90275,49,3,31,5,74,25,0,0,0,"quickservice",1.1886,9.459,1,1
45948,"North Carolina",27559,23,1.4,21,1,94,37,1,0,0,"quickservice",0.56618,1.781,0,1
22362,"Indiana",47452,5.9,0.6,10,5,106,38,0,1,0,"fastcasual",0.40594,0.902,0,0
25578,"North Carolina",28277,50,3,29,1,30,29,1,0,0,"fastcasual",0.91989,2.747,0,1
1524,"Washington",98570,20.9,2.1,14,2,65,21,0,1,1,"quickservice",0.51106,1.905,0,1
69966,"Pennsylvania",19149,86.7,43.3,15,1,117,2,0,0,0,"fastcasual",0.36906,1.293,0,0
35789,"Virginia",23803,64.1,6.4,38,1,12,19,1,0,0,"quickservice",0.39607,1.47,0,1
71699,"Alabama",36106,100,3,31,2,270,20,0,0,1,"quickservice",0.58185,1.616,0,1
69842,"Louisiana",70354,10.6,0.8,28,2,70,34,1,0,0,"quickservice",0.4235,1.042,0,0
38600,"Pennsylvania",19610,86.8,43.3,15,3,241,33,0,1,0,"quickservice",0.69179,2.155,0,1
29383,"Massachusetts",1151,97.5,43.8,10,3,181,23,0,1,0,"quickservice",0.30043,1.527,1,0
37903,"Mississippi",39176,14.1,0.5,25,1,14,11,0,0,0,"quickservice",0.25845,0.486,0,1
37270,"Mississippi",39573,20.6,1.1,22,4,96,19,0,0,1,"quickservice",0.44573,0.938,0,1
993,"Arizona",85040,94.9,9.5,20,1,130,4,0,0,0,"quickservice",0.30841,0.887,0,0
42456,"Georgia",30141,75.5,7.6,23,1,37,27,1,0,0,"quickservice",0.5699,1.316,0,1
17145,"Ohio",43950,55.6,27.3,42,1,14,4,0,0,1,"quickservice",0.5157,1.337,0,1
26248,"Washington",98351,1.1,0.1,19,4,93,31,0,1,1,"quickservice",0.49755,3.091,0,0
41175,"Iowa",51523,10.7,0.2,9,2,35,15,1,0,0,"fastcasual",0.4425,0.575,0,1
21006,"North Carolina",27295,38.1,2.3,21,1,40,33,0,1,0,"fastcasual",0.45563,1.396,0,1
25313,"Wisconsin",54829,29.4,1.3,27,2,69,7,0,0,1,"quickservice",0.46875,1.523,0,0
93,"Oklahoma",74937,0.7,0,34,1,40,8,0,0,0,"quickservice",0.34156,0.675,0,1
11867,"Texas",78059,3,0.6,32,4,180,30,0,1,1,"fastcasual",0.51652,1.107,0,0
17699,"Texas",75501,42.8,1.4,33,1,134,14,0,0,0,"fastcasual",0.34355,0.856,0,1
71439,"Louisiana",71112,20.8,1.6,17,4,244,27,0,1,0,"quickservice",0.5179,1.288,0,1
23443,"Texas",79401,9.1,0.7,14,3,137,26,1,0,1,"quickservice",0.1345,0.761,0,0
14887,"Idaho",83841,1.6,0.1,15,3,92,19,0,0,0,"fastcasual",0.26618,2.725,0,0
34604,"Illinois",61455,53.3,5.3,12,2,139,36,0,1,0,"quickservice",0.31448,1.025,0,1
16883,"Ohio",45645,39.7,2.4,22,1,50,32,0,1,0,"quickservice",0.53125,0.913,0,1
28446,"Florida",32618,25.6,1.9,25,2,285,29,1,0,0,"other",0.4344,1.614,0,0
1959,"New York",14836,30.3,1.8,6,1,80,11,0,0,0,"quickservice",0.51728,0.859,0,1
52428,"Connecticut",6416,90.4,45.2,37,1,58,13,0,0,1,"quickservice",0.75859,2.43,0,0
25199,"Missouri",64493,0.7,0.1,22,1,44,31,1,0,1,"quickservice",0.60938,1.725,0,1
67002,"Florida",34987,19.8,2,13,5,120,23,0,0,1,"quickservice",0.61276,2.056,0,1
64530,"Alabama",35473,97.1,5.4,7,1,8,11,0,0,0,"quickservice",0.537,1.655,0,1
74651,"Virginia",24503,78.3,6.3,17,1,40,19,0,0,0,"other",0.66161,2.361,0,0
66347,"New Jersey",8073,68.2,34.1,36,3,198,23,0,0,0,"quickservice",1.82716,3.254,0,0
